magazine,year,month,url,work,rank,is_cover,is_top,is_center
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,GA 芸術科アートデザインクラス,1,True,True,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,ひだまりスケッチ,2,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,ごきチャ,3,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,ぱわーおぶすまいる。,4,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,Aチャンネル,5,False,False,True
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,キルミーベイベー,6,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,はるみねーしょん,7,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,箱入りドロップス,8,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,セカイ魔王,9,False,False,True
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,ネガ→ポジ,10,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,ぷらいまりィずむ!,11,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,うぃーしぇあ!,12,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,P.S.リスタート,13,False,False,True
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,もぐもぐドロップ,14,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,先輩には頭が上がらない!,15,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,ラッキー・ブレイク,16,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,イキモノシステム,17,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,さくらティーブレイク!,18,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,さいけん。,19,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,もこもこBOX,20,False,False,False
kirara-carat,2013,1,https://www.dokidokivisual.com/magazine/kirara-carat/2013/01/10933/,インプロ!,21,False,False,False
