magazine,year,month,url,work,rank,is_cover,is_top,is_center
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,ハナヤマタ,1,False,True,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,がっこうぐらし!,2,True,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,魔法少女かずみ☆マギカ~The innocent malice~,3,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,夢喰いメリー,4,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,はぢがーる,5,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,はじおつ。,6,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,トモダチログイン,7,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,となりの柏木さん,8,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,7時間目の音符,9,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,ふたりの恋愛書架,10,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,私が彼女で彼女が私で,11,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,ハームフル・ビューティフル,12,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,少女素数,13,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,Zwart Closet,14,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,meth・e・meth,15,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,麻宮さんの妹,16,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,私がヒロインじゃない理由,17,False,False,False
kirara-forward,2013,1,https://www.dokidokivisual.com/magazine/kirara-forward/2013/01/11140/,一年生になっちゃったら,18,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,がっこうぐらし!,1,False,True,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,ハナヤマタ,2,True,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,夢喰いメリー,3,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,となりの柏木さん,4,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,はぢがーる,5,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,はじおつ。,6,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,あんハピ♪,7,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,球場の令嬢,8,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,トモダチログイン,9,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,まひるの夕日,10,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,7時間目の音符,11,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,ふたりの恋愛書架,12,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,据次タカシの憂鬱,13,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,私が彼女で彼女が私で,14,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,Zwart Closet,15,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,少女素数,16,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,ハームフル・ビューティフル,17,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,meth・e・meth,18,False,False,False
kirara-forward,2013,2,https://www.dokidokivisual.com/magazine/kirara-forward/2013/02/11141/,一年生になっちゃったら,19,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,7時間目の音符,1,False,True,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,夢喰いメリー,2,True,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,がっこうぐらし!,3,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,ハナヤマタ,4,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,となりの柏木さん,5,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,はじおつ。,6,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,きんいろモザイク,7,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,あんハピ♪,8,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,魔カリキュラム!,9,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,ブラックラック,10,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,球場の令嬢,11,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,はぢがーる,12,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,トモダチログイン,13,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,ふたりの恋愛書架,14,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,据次タカシの憂鬱,15,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,少女素数,16,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,Zwart Closet,17,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,私が彼女で彼女が私で,18,False,False,False
kirara-forward,2013,3,https://www.dokidokivisual.com/magazine/kirara-forward/2013/03/11142/,meth・e・meth,19,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,となりの柏木さん,1,True,True,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,ハナヤマタ,2,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,がっこうぐらし!,3,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,夢喰いメリー,4,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,はぢがーる,5,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,はじおつ。,6,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,あんハピ♪,7,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,ブラックラック,8,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,魔カリキュラム!,9,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,マリッジ・バトル!,10,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,こなみっくす!,11,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,球場の令嬢,12,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,トモダチログイン,13,False,False,False
kirara-forward,2013,4,https://www.dokidokivisual.com/magazine/kirara-forward/2013/04/11143/,7時間目の音符,14,False,False,False
