magazine,year,month,url,work,rank,is_cover,is_top,is_center
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,リリィ,1,False,True,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,Good night! Angel,2,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,夜森の国のソラニ,3,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,幸腹グラフィティ,4,True,False,True
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,スイート マジック シンドローム,5,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,桜Trick,6,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,きしとおひめさま,7,False,False,True
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,くじらジュブナイル,8,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,城下町のダンデライオン,9,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,寄り道ファミリ,10,False,False,True
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,Eイズム,11,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,となりの魔法少女,12,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,飛ぶことを許された迷路,13,False,False,True
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,TEI OHー!,14,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,Lisa Step!,15,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,ゆめおいドミトリー,16,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,わたしと姉は正反対,17,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,メイドなボクとお嬢さま的あるじ,18,False,False,False
kirara-miracle,2013,1,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/01/11292/,月曜日の空飛ぶオレンジ。,19,False,False,False
kirara-miracle,2013,2,https://www.dokidokivisual.com/magazine/kirara-miracle/2013/02/11293/,幸腹グラフィティ,1,False,True,False
